Year,Industry_aggregation_NZSIOC,Industry_name_NZSIOC,Units,Variable_name,Variable_category
2024,Level 1,All industries,Dollars (millions),Total income,Financial performance
2024,Level 1,All industries,Dollars (millions),"Sales, government funding, grants and subsidies",Financial performance
2024,Level 1,All industries,Dollars (millions),"Interest, dividends and donations",Financial performance
2024,Level 1,All industries,Dollars (millions),Non-operating income,Financial performance
2024,Level 1,All industries,Dollars (millions),Total expenditure,Financial performance
2024,Level 1,All industries,Dollars (millions),Interest and donations,Financial performance
2024,Level 1,All industries,Dollars (millions),Indirect taxes,Financial performance
2024,Level 1,All industries,Dollars (millions),Depreciation,Financial performance
2024,Level 1,All industries,Dollars (millions),Salaries and wages paid,Financial performance
2024,Level 1,All industries,Dollars (millions),Redundancy and severance,Financial performance
2024,Level 1,All industries,Dollars (millions),Salaries and wages to self employed commission agents,Financial performance
2024,Level 1,All industries,Dollars (millions),Purchases and other operating expenses,Financial performance
2024,Level 1,All industries,Dollars (millions),Non-operating expenses,Financial performance
2024,Level 1,All industries,Dollars (millions),Opening stocks,Financial performance
2024,Level 1,All industries,Dollars (millions),Closing stocks,Financial performance
2024,Level 1,All industries,Dollars (millions),Surplus before income tax,Financial performance
2024,Level 1,All industries,Dollars (millions),Total assets,Financial position
2024,Level 1,All industries,Dollars (millions),Current assets,Financial position
2024,Level 1,All industries,Dollars (millions),Fixed tangible assets,Financial position
2024,Level 1,All industries,Dollars (millions),Other assets,Financial position
2024,Level 1,All industries,Dollars (millions),Total equity and liabilities,Financial position
2024,Level 1,All industries,Dollars (millions),Shareholders funds or owners equity,Financial position
2024,Level 1,All industries,Dollars (millions),Current liabilities,Financial position
2024,Level 1,All industries,Dollars (millions),Other liabilities,Financial position
2024,Level 1,All industries,Dollars,Total income per employee count,Financial ratios
2024,Level 1,All industries,Dollars,Surplus per employee count,Financial ratios
2024,Level 1,All industries,Percentage,Current ratio,Financial ratios
2024,Level 1,All industries,Percentage,Quick ratio,Financial ratios
2024,Level 1,All industries,Percentage,Return on equity,Financial ratios
2024,Level 1,All industries,Percentage,Return on total assets,Financial ratios
2024,Level 1,All industries,Percentage,Liabilities structure,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Total income,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Sales of goods and services,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),"Interest, dividends and donations",Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),"Government funding, grants and subsidies",Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Non-operating income,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Total expenditure,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Interest and donations,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Indirect taxes,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Depreciation,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Salaries and wages paid,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Redundancy and severance,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Purchases and other operating expenses,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Non-operating expenses,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Opening stocks,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Closing stocks,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Surplus before income tax,Financial performance
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Total assets,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Current assets,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Fixed tangible assets,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Other assets,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Total equity and liabilities,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Shareholders funds or owners equity,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Current liabilities,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars (millions),Other liabilities,Financial position
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars,Total income per employee count,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Dollars,Surplus per employee count,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Percentage,Current ratio,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Percentage,Quick ratio,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Percentage,Return on equity,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Percentage,Return on total assets,Financial ratios
2024,Level 1,"Agriculture, Forestry and Fishing",Percentage,Liabilities structure,Financial ratios
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Total income,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),"Sales, government funding, grants and subsidies",Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),"Interest, dividends and donations",Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Non-operating income,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Total expenditure,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Interest and donations,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Indirect taxes,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Depreciation,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Salaries and wages paid,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Redundancy and severance,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Purchases and other operating expenses,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Non-operating expenses,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Opening stocks,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Closing stocks,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Surplus before income tax,Financial performance
2024,Level 3,Horticulture and Fruit Growing,Dollars (millions),Total assets,Financial position
